,Loan_ID,Loan_Status
0,LP001015,Y
1,LP001022,Y
2,LP001031,Y
3,LP001035,Y
4,LP001051,Y
5,LP001054,Y
6,LP001055,Y
7,LP001056,Y
8,LP001059,Y
9,LP001067,Y
10,LP001078,Y
11,LP001082,Y
12,LP001083,Y
13,LP001094,Y
14,LP001096,Y
15,LP001099,Y
16,LP001105,Y
17,LP001107,Y
18,LP001108,Y
19,LP001115,Y
20,LP001121,Y
21,LP001124,Y
22,LP001128,Y
23,LP001135,Y
24,LP001149,Y
25,LP001153,Y
26,LP001163,Y
27,LP001169,Y
28,LP001174,Y
29,LP001176,Y
30,LP001177,Y
31,LP001183,Y
32,LP001185,Y
33,LP001187,Y
34,LP001190,Y
35,LP001203,Y
36,LP001208,Y
37,LP001210,Y
38,LP001211,Y
39,LP001219,Y
40,LP001220,Y
41,LP001221,Y
42,LP001226,Y
43,LP001230,Y
44,LP001231,Y
45,LP001232,Y
46,LP001237,Y
47,LP001242,Y
48,LP001268,Y
49,LP001270,Y
50,LP001284,Y
51,LP001287,Y
52,LP001291,Y
53,LP001298,Y
54,LP001312,Y
55,LP001313,Y
56,LP001317,Y
57,LP001321,Y
58,LP001323,Y
59,LP001324,Y
60,LP001332,Y
61,LP001335,Y
62,LP001338,Y
63,LP001347,Y
64,LP001348,Y
65,LP001351,Y
66,LP001352,Y
67,LP001358,Y
68,LP001359,Y
69,LP001361,Y
70,LP001366,Y
71,LP001368,Y
72,LP001375,Y
73,LP001380,Y
74,LP001386,Y
75,LP001400,Y
76,LP001407,Y
77,LP001413,Y
78,LP001415,Y
79,LP001419,Y
80,LP001420,Y
81,LP001428,Y
82,LP001445,Y
83,LP001446,Y
84,LP001450,Y
85,LP001452,Y
86,LP001455,Y
87,LP001466,Y
88,LP001471,Y
89,LP001472,Y
90,LP001475,Y
91,LP001483,Y
92,LP001486,Y
93,LP001490,Y
94,LP001496,Y
95,LP001499,Y
96,LP001500,Y
97,LP001501,Y
98,LP001517,Y
99,LP001527,Y
100,LP001534,Y
101,LP001542,Y
102,LP001547,Y
103,LP001548,Y
104,LP001558,Y
105,LP001561,Y
106,LP001563,Y
107,LP001567,Y
108,LP001568,Y
109,LP001573,Y
110,LP001584,Y
111,LP001587,Y
112,LP001589,Y
113,LP001591,Y
114,LP001599,Y
115,LP001601,Y
116,LP001607,Y
117,LP001611,Y
118,LP001613,Y
119,LP001622,Y
120,LP001627,Y
121,LP001650,Y
122,LP001651,Y
123,LP001652,Y
124,LP001655,Y
125,LP001660,Y
126,LP001662,Y
127,LP001663,Y
128,LP001667,Y
129,LP001695,Y
130,LP001703,Y
131,LP001718,Y
132,LP001728,Y
133,LP001735,Y
134,LP001737,Y
135,LP001739,Y
136,LP001742,Y
137,LP001757,Y
138,LP001769,Y
139,LP001771,Y
140,LP001785,Y
141,LP001787,Y
142,LP001789,Y
143,LP001791,Y
144,LP001794,Y
145,LP001797,Y
146,LP001815,Y
147,LP001817,Y
148,LP001818,Y
149,LP001822,Y
150,LP001827,Y
151,LP001831,Y
152,LP001842,Y
153,LP001853,Y
154,LP001855,Y
155,LP001857,Y
156,LP001862,Y
157,LP001867,Y
158,LP001878,Y
159,LP001881,Y
160,LP001886,Y
161,LP001906,Y
162,LP001909,Y
163,LP001911,Y
164,LP001921,Y
165,LP001923,Y
166,LP001933,Y
167,LP001943,Y
168,LP001950,Y
169,LP001959,Y
170,LP001961,Y
171,LP001973,Y
172,LP001975,Y
173,LP001979,Y
174,LP001995,Y
175,LP001999,Y
176,LP002007,Y
177,LP002009,Y
178,LP002016,Y
179,LP002017,Y
180,LP002018,Y
181,LP002027,Y
182,LP002028,Y
183,LP002042,Y
184,LP002045,Y
185,LP002046,Y
186,LP002047,Y
187,LP002056,Y
188,LP002057,Y
189,LP002059,Y
190,LP002062,Y
191,LP002064,Y
192,LP002069,Y
193,LP002070,Y
194,LP002077,Y
195,LP002083,Y
196,LP002090,Y
197,LP002096,Y
198,LP002099,Y
199,LP002102,Y
200,LP002105,Y
201,LP002107,Y
202,LP002111,Y
203,LP002117,Y
204,LP002118,Y
205,LP002123,Y
206,LP002125,Y
207,LP002148,Y
208,LP002152,Y
209,LP002165,Y
210,LP002167,Y
211,LP002168,Y
212,LP002172,Y
213,LP002176,Y
214,LP002183,Y
215,LP002184,Y
216,LP002186,Y
217,LP002192,Y
218,LP002195,Y
219,LP002208,Y
220,LP002212,Y
221,LP002240,Y
222,LP002245,Y
223,LP002253,Y
224,LP002256,Y
225,LP002257,Y
226,LP002264,Y
227,LP002270,Y
228,LP002279,Y
229,LP002286,Y
230,LP002294,Y
231,LP002298,Y
232,LP002306,Y
233,LP002310,Y
234,LP002311,Y
235,LP002316,Y
236,LP002321,Y
237,LP002325,Y
238,LP002326,Y
239,LP002329,Y
240,LP002333,Y
241,LP002339,Y
242,LP002344,Y
243,LP002346,Y
244,LP002354,Y
245,LP002355,Y
246,LP002358,Y
247,LP002360,Y
248,LP002375,Y
249,LP002376,Y
250,LP002383,Y
251,LP002385,Y
252,LP002389,Y
253,LP002394,Y
254,LP002397,Y
255,LP002399,Y
256,LP002400,Y
257,LP002402,Y
258,LP002412,Y
259,LP002415,Y
260,LP002417,Y
261,LP002420,Y
262,LP002425,Y
263,LP002433,Y
264,LP002440,Y
265,LP002441,Y
266,LP002442,Y
267,LP002445,Y
268,LP002450,Y
269,LP002471,Y
270,LP002476,Y
271,LP002482,Y
272,LP002485,Y
273,LP002495,Y
274,LP002496,Y
275,LP002523,Y
276,LP002542,Y
277,LP002550,Y
278,LP002551,Y
279,LP002553,Y
280,LP002554,Y
281,LP002561,Y
282,LP002566,Y
283,LP002568,Y
284,LP002570,Y
285,LP002572,Y
286,LP002581,Y
287,LP002584,Y
288,LP002592,Y
289,LP002593,Y
290,LP002599,Y
291,LP002604,Y
292,LP002605,Y
293,LP002609,Y
294,LP002610,Y
295,LP002612,Y
296,LP002614,Y
297,LP002630,Y
298,LP002635,Y
299,LP002639,Y
300,LP002644,Y
301,LP002651,Y
302,LP002654,Y
303,LP002657,Y
304,LP002711,Y
305,LP002712,Y
306,LP002721,Y
307,LP002735,Y
308,LP002744,Y
309,LP002745,Y
310,LP002746,Y
311,LP002747,Y
312,LP002754,Y
313,LP002759,Y
314,LP002760,Y
315,LP002766,Y
316,LP002769,Y
317,LP002774,Y
318,LP002775,Y
319,LP002781,Y
320,LP002782,Y
321,LP002786,Y
322,LP002790,Y
323,LP002791,Y
324,LP002793,Y
325,LP002802,Y
326,LP002803,Y
327,LP002805,Y
328,LP002806,Y
329,LP002816,Y
330,LP002823,Y
331,LP002825,Y
332,LP002826,Y
333,LP002843,Y
334,LP002849,Y
335,LP002850,Y
336,LP002853,Y
337,LP002856,Y
338,LP002857,Y
339,LP002858,Y
340,LP002860,Y
341,LP002867,Y
342,LP002869,Y
343,LP002870,Y
344,LP002876,Y
345,LP002878,Y
346,LP002879,Y
347,LP002885,Y
348,LP002890,Y
349,LP002891,Y
350,LP002899,Y
351,LP002901,Y
352,LP002907,Y
353,LP002920,Y
354,LP002921,Y
355,LP002932,Y
356,LP002935,Y
357,LP002952,Y
358,LP002954,Y
359,LP002962,Y
360,LP002965,Y
361,LP002969,Y
362,LP002971,Y
363,LP002975,Y
364,LP002980,Y
365,LP002986,Y
366,LP002989,Y
